Id,Predict
266,12 77
267,11
268,6 83
269,-1
270,98
271,36 42
272,83 97
273,-1
274,92
275,6 83
276,84
277,28 82
278,74
279,91
280,-1
281,6 83
282,-1
283,6 83
284,36 42
285,59
286,-1
287,-1
288,-1
289,-1
290,45
291,-1
292,5
293,77
294,47
295,50
296,-1
297,56
298,-1
299,17
300,56
301,6 83
302,5 41
303,85
304,83 97
305,38
306,-1
307,90
308,-1
309,-1
310,-1
311,74 86
312,33
313,-1
314,2 44
315,79
316,-1
317,26 60 81
318,-1
319,-1
320,36
321,6 71
322,-1
323,-1
324,43
325,69
326,16
327,3
328,6 83
329,37
330,-1
331,-1
332,-1
333,-1
334,66
335,98
336,85 96
337,6 83
338,12
339,67
340,13
341,26 81
342,65
343,20 83
344,37
345,6 83
346,-1
347,52 65
348,-1
349,24
350,-1
351,-1
352,-1
353,51
354,9 30
355,-1
356,-1
357,23
358,-1
359,-1
360,9 30
361,78
362,49
363,6 71
364,13 73 95
365,84
366,-1
367,-1
368,10 92
369,-1
370,16
371,10
372,-1
373,67
374,23
375,1
376,30
377,6 83
378,-1
379,6 83
380,6 83
381,83 97
382,-1
383,19 39
384,-1
385,25
386,47
387,62
388,6 83
389,81
390,-1
391,37 41
392,81
393,6 83
394,60 73
395,24
396,79 81
397,65
398,37
399,54
400,-1
401,-1
402,78
403,57
404,69
405,-1
406,-1
407,-1
408,74
409,47 96
410,21
411,-1
412,71 82
413,6 83
414,36
415,6 83
416,37 41
417,2 62
418,12
419,26
420,-1
421,67
422,56
423,6 83
424,84
425,49
426,6 73
427,3
428,95
429,28
430,-1
431,35
432,-1
433,-1
434,6 83
435,22
436,-1
437,-1
438,36 42
439,72
440,3 72
441,11
442,85 96
443,-1
444,6 71
445,-1
446,34 100
447,6 83
448,-1
449,47
450,63
451,16
452,6 83
453,-1
454,84
455,50
456,5
457,-1
458,10
459,-1
460,6 83
461,-1
462,-1
463,56
464,57
465,78
466,-1
467,-1
468,6 83
469,43
470,46
471,-1
472,52 65
473,10 92
474,-1
475,-1
476,-1
477,-1
478,38 91
479,45
480,-1
481,-1
482,49
483,-1
484,-1
485,37
486,56
487,3
488,46
489,19
490,24
491,10 80 92
492,63
493,9 15 35
494,24
495,-1
496,37
497,-1
498,-1
499,38
500,2 44
501,-1
502,-1
503,-1
504,-1
505,-1
506,-1
507,-1
508,6 83
509,37
510,-1
511,29
512,69
513,52 65
514,6
515,12
516,-1
517,85
518,6 83
519,-1
520,86
521,1
522,50
523,83 97
524,86
525,15 35
526,32
527,-1
528,-1
529,45
530,45
531,-1
532,26 81
533,-1
534,62 83
535,36 84
536,78
537,90
538,12 20
539,74
540,-1
541,-1
542,43
543,6 83
544,36
545,-1
546,88
547,-1
548,34 100
549,24
550,33
551,77
552,89
553,74
554,-1
555,69
556,69
557,-1
558,-1
559,34 100
560,-1
561,-1
562,38 91
563,30
564,50
565,74 86
566,47
567,6 83
568,-1
569,-1
570,-1
571,-1
572,63
573,92
574,38
575,16 74 93
576,-1
577,13
578,69
579,-1
580,6 83
581,-1
582,-1
583,-1
584,6 83
585,78
586,19 50
587,9 30 82
588,19
589,-1
590,10
591,79
592,-1
593,37
594,38 91
595,16
596,6 83
597,3
598,6 71
599,26
600,-1
601,38
602,69
603,6 83
604,62
605,9 30
606,10
607,78
608,6 71
609,12
610,60 73
611,47 96
612,44
613,6 83
614,31
615,6 83
616,6 83
617,-1
618,6 83
619,64
620,30
621,42
622,67
623,60
624,-1
625,58
626,37
627,6 71
628,49
629,6 83
630,92
631,66
632,6 83
633,6 83
634,-1
635,60
636,34 100
637,-1
638,10 92
639,-1
640,-1
641,13
642,45
643,81
644,13
645,-1
646,23
647,36
648,37
649,34 100
650,80
651,25 82
652,-1
653,6 83
654,-1
655,-1
656,-1
657,84
658,6 71
659,1
660,-1
661,14
662,-1
663,-1
664,6 83
665,54
666,-1
667,6 83
668,-1
669,23
670,-1
671,84
672,33
673,-1
674,80
675,-1
676,-1
677,13 95
678,26 81
679,94
680,10
681,41
682,57 68 98
683,45
684,-1
685,10
686,58
687,6 83
688,97
689,-1
690,-1
691,90
692,6 83
693,-1
694,6 83
695,-1
696,-1
697,6 71
698,-1
699,-1
700,63
701,10
702,-1
703,-1
704,6 83
705,-1
706,6 83
707,-1
708,-1
709,86
710,50
711,6 83
712,12
713,-1
714,82
715,-1
716,47 96
717,35
718,-1
719,7
720,78
721,90
722,-1
723,98
724,26 81
725,6 83
726,10
727,6 83
728,49
729,34 100
730,-1
731,-1
732,85
733,39 85
734,66
735,26 81
736,60 73
737,-1
738,-1
739,13
740,-1
741,31
742,78
743,96
744,-1
745,-1
746,-1
747,-1
748,42
749,37
750,29
751,57 68 98
752,77
753,75
754,-1
755,39
756,39
757,-1
758,37
759,-1
760,86
761,47
762,-1
763,-1
764,-1
765,6 83
766,6 83
767,-1
768,-1
769,-1
770,6 83
771,6 83
772,34 100
773,91
774,-1
775,-1
776,6 83
777,-1
778,6 83
779,100
780,57 68 98
781,6 83
782,-1
783,-1
784,-1
785,-1
786,31
787,-1
788,-1
789,20
790,41
791,-1
792,-1
793,-1
794,-1
795,54
796,97
797,13 71
798,71
799,-1
